id,name,experience,alternate_url,salary from,salary to,key_skills,analysis_field
87842450,Старший бухгалтер,От 1 года до 3 лет,https://hh.ru/vacancy/87842450,85000.0,85000.0,['Нет навыков'],Бухгалтер
88653519,Старший бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88653519,90000.0,,['Нет навыков'],Бухгалтер
88524410,Помощник главного бухгалтера,От 1 года до 3 лет,https://hh.ru/vacancy/88524410,80000.0,,['Нет навыков'],Бухгалтер
85672865,Заместитель главного бухгалтера,От 1 года до 3 лет,https://hh.ru/vacancy/85672865,80000.0,100000.0,['Нет навыков'],Бухгалтер
87305947,Главный бухгалтер в Гостиничный комплекс,От 3 до 6 лет,https://hh.ru/vacancy/87305947,,,['Нет навыков'],Бухгалтер
87723688,Главный бухгалтер,Более 6 лет,https://hh.ru/vacancy/87723688,150000.0,150000.0,['Нет навыков'],Бухгалтер
88508686,Главный бухгалтер в единственном числе,От 3 до 6 лет,https://hh.ru/vacancy/88508686,100000.0,110000.0,['Нет навыков'],Бухгалтер
87722742,Главный бухгалтер (нефтяная компания),От 3 до 6 лет,https://hh.ru/vacancy/87722742,150000.0,,['Нет навыков'],Бухгалтер
88874539,Заместитель главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/88874539,,,['Нет навыков'],Бухгалтер
88887714,Ведущий бухгалтер,От 1 года до 3 лет,https://hh.ru/vacancy/88887714,84000.0,100000.0,['Нет навыков'],Бухгалтер
87726375,Главный бухгалтер (в единственном лице),От 3 до 6 лет,https://hh.ru/vacancy/87726375,150000.0,150000.0,['Нет навыков'],Бухгалтер
88249482,Главный бухгалтер,Более 6 лет,https://hh.ru/vacancy/88249482,150000.0,,['Нет навыков'],Бухгалтер
88752952,Ведущий бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88752952,100000.0,,['Нет навыков'],Бухгалтер
88192335,Заместитель главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/88192335,120000.0,120000.0,['Нет навыков'],Бухгалтер
88006777,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88006777,100000.0,150000.0,['Нет навыков'],Бухгалтер
88679268,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88679268,100000.0,150000.0,['Нет навыков'],Бухгалтер
88233180,"Ведущий бухгалтер (ОС, ТМЦ)",От 3 до 6 лет,https://hh.ru/vacancy/88233180,120000.0,120000.0,['Нет навыков'],Бухгалтер
87987910,Заместитель главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/87987910,115000.0,,['Нет навыков'],Бухгалтер
88760563,Group Methodology Manager/Chief Accountant,Более 6 лет,https://hh.ru/vacancy/88760563,,,['Нет навыков'],Бухгалтер
88440518,Ведущий бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88440518,62000.0,,['Нет навыков'],Бухгалтер
88531325,"Главный бухгалтер в торговую организацию (опт, розница)",От 3 до 6 лет,https://hh.ru/vacancy/88531325,250000.0,250000.0,['Нет навыков'],Бухгалтер
87910713,Ведущий бухгалтер на участок расчётов с контрагентами,От 3 до 6 лет,https://hh.ru/vacancy/87910713,85000.0,90000.0,['Нет навыков'],Бухгалтер
88270798,Главный бухгалтер (в единственном лице),От 3 до 6 лет,https://hh.ru/vacancy/88270798,130000.0,140000.0,['Нет навыков'],Бухгалтер
88587258,Заместитель главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/88587258,100000.0,,['Нет навыков'],Бухгалтер
88326829,Помощник главного бухгалтера,От 1 года до 3 лет,https://hh.ru/vacancy/88326829,60000.0,65000.0,['Нет навыков'],Бухгалтер
88828850,Главный бухгалтер медицинского центра,От 3 до 6 лет,https://hh.ru/vacancy/88828850,,,['Нет навыков'],Бухгалтер
88243517,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88243517,190000.0,,['Нет навыков'],Бухгалтер
88810404,Заместитель главного бухгалтера / главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88810404,,,['Нет навыков'],Бухгалтер
88028792,Главный бухгалтер,От 1 года до 3 лет,https://hh.ru/vacancy/88028792,120000.0,,['Нет навыков'],Бухгалтер
88309888,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88309888,120000.0,150000.0,['Нет навыков'],Бухгалтер
88588225,Помощник главного бухгалтера,От 1 года до 3 лет,https://hh.ru/vacancy/88588225,65000.0,70000.0,['Нет навыков'],Бухгалтер
87766126,Заместитель главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/87766126,140000.0,150000.0,['Нет навыков'],Бухгалтер
87826507,Заместитель главного бухгалтера,Более 6 лет,https://hh.ru/vacancy/87826507,95000.0,,['Нет навыков'],Бухгалтер
88166968,Заместитель главного бухгалтера,Более 6 лет,https://hh.ru/vacancy/88166968,100000.0,,"['Бухгалтерская отчетность', 'Деловая переписка', 'Управление бухгалтерией', 'Налоговая отчетность', '1С: Бухгалтерия']",Бухгалтер
88186732,Заместитель главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/88186732,130000.0,,['Нет навыков'],Бухгалтер
87845303,Главный бухгалтер,Более 6 лет,https://hh.ru/vacancy/87845303,150000.0,,['Нет навыков'],Бухгалтер
88590487,Старший бухгалтер,От 1 года до 3 лет,https://hh.ru/vacancy/88590487,,,['Нет навыков'],Бухгалтер
88585447,Помощник главного бухгалтера в ломбард,От 3 до 6 лет,https://hh.ru/vacancy/88585447,80000.0,90000.0,"['Расчет заработной платы', 'Авансовые отчеты', 'Расчет затрат', 'Первичная бухгалтерская документация', 'Бухгалтерская отчетность', '1С: Бухгалтерия', '1С: Документооборот', 'Электронный документооборот', 'Налоговая отчетность', 'Акты сверок', 'Организация хранения документации', 'Расчет налогов', 'прохождение налоговых проверок', '1С: Зарплата и кадры']",Бухгалтер
88681031,Бухгалтер/помощник бухгалтера/помощник главного бухгалтера,От 1 года до 3 лет,https://hh.ru/vacancy/88681031,50000.0,65000.0,['Нет навыков'],Бухгалтер
87857628,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/87857628,,,['Нет навыков'],Бухгалтер
88529948,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88529948,50000.0,,[],Бухгалтер
88302970,Главный бухгалтер в единственном числе,Нет опыта,https://hh.ru/vacancy/88302970,60000.0,,['Нет навыков'],Бухгалтер
88465939,Главный бухгалтер (Chief Accountant),Более 6 лет,https://hh.ru/vacancy/88465939,,,['Нет навыков'],Бухгалтер
87495832,Ведущий бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/87495832,,,[],Бухгалтер
88833040,Помощник главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/88833040,70000.0,80000.0,['Нет навыков'],Бухгалтер
85453970,Главный бухгалтер (г. Москва),От 3 до 6 лет,https://hh.ru/vacancy/85453970,,,"['Бухгалтерская отчетность', 'Финансовая отчетность', 'Бухгалтерский учет', 'Расчет затрат', 'Налоговые декларации', 'Отчет о прибылях и убытках', 'прохождение налоговых проверок', 'Расчет налогов', '1С: Предприятие: Бухгалтерский Учет', 'Российские стандарты бухгалтерского учета', '1С: Производство', 'Контроль ведения налоговой отчетности', 'Высшее образование', 'Проведение инвентаризация ОС', 'Учетная документация', 'Расчет заработной платы', 'Первичная бухгалтерская документация', 'Статистическая отчетность', 'Расчет НДС', 'Отчетность в ПФР', 'Годовой баланс', 'Основные средства', 'Отчетность в ФСС']",Бухгалтер
88323075,Старший бухгалтер,От 1 года до 3 лет,https://hh.ru/vacancy/88323075,,,"['1С: Бухгалтерия', '1С: Предприятие 8', '1С: Бухгалтерия и склад', '1С: Производство', '1С: Управление Торговлей', 'участок услуги']",Бухгалтер
82193280,Ведущий бухгалтер,От 1 года до 3 лет,https://hh.ru/vacancy/82193280,80000.0,100000.0,['Нет навыков'],Бухгалтер
88173149,Ведущий бухгалтер по расчету заработной платы (классика),От 3 до 6 лет,https://hh.ru/vacancy/88173149,85000.0,100000.0,"['расчет заработной платы и начисление всех налогов в части касаемой заработной платы', 'Бухгалтерская отчетность', 'Первичная бухгалтерская документация', 'расчет командировочных', '1С: Бухгалтерия', 'Консультант плюс', 'Расчет заработной платы', 'Налоговая отчетность', 'Начисление ежегодных отпусков', 'Повременно-премиальная оплата труда', 'Отчетность в ПФР', 'Отчетность в ФСС']",Бухгалтер
88179516,Главный бухгалтер (мкр. Железнодорожный),Более 6 лет,https://hh.ru/vacancy/88179516,130000.0,150000.0,"['1C: Бухгалтерия', 'Основные средства', 'Отчет о прибылях и убытках', 'Налоговый учет', 'Отчетность в ФСС', 'Годовой баланс', 'Отчетность в ПФР', 'Расчет заработной платы']",Бухгалтер
88349509,Главный бухгалтер с функцией финансового директора,От 3 до 6 лет,https://hh.ru/vacancy/88349509,,200000.0,['Нет навыков'],Бухгалтер
88671353,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88671353,120000.0,120000.0,[],Бухгалтер
87896503,Ведущий бухгалтер ТМЦ в международную компанию,Более 6 лет,https://hh.ru/vacancy/87896503,,,[],Бухгалтер
88640243,Заместитель главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/88640243,,,['Нет навыков'],Бухгалтер
88849243,"Ведущий бухгалтер, направление - общественное питание",От 3 до 6 лет,https://hh.ru/vacancy/88849243,75000.0,,['Нет навыков'],Бухгалтер
87844928,Ведущий бухгалтер 1С,От 3 до 6 лет,https://hh.ru/vacancy/87844928,80000.0,,"['Бухгалтерский учет', 'Первичная бухгалтерская документация', 'Налоговая отчетность', 'Банк-клиент', '1С: Бухгалтерия', 'Расчет заработной платы', 'Отчетность в ФСС', 'Отчетность в ПФР']",Бухгалтер
